,SalesPrice,Housing_Details,Broker,address
0,"C$3,950,000","4 bds2 ba2,872 sqft - House for sale","MLS® ID #R2866920, MACDONALD REALTY BROKERAGE","23215 141st Ave, Maple Ridge, BC V4R 2R4"
1,"C$3,099,000","4 bds5 ba3,144 sqft - House for sale","MLS® ID #R2866827, ROYAL LEPAGE SUSSEX BROKERAGE","4735 Rutland Rd, West Vancouver, BC V7W 1G6"
2,"C$2,880,000","4 bds4 ba4,370 sqft - House for sale","MLS® ID #R2866875, MACDONALD REALTY WESTMAR BROKERAGE","7371 Sunnymede Cres, Richmond, BC V6Y 1H3"
3,"C$1,160,000","5 bds4 ba2,736 sqft - House for sale","MLS® ID #R2866879, 2 PERCENT REALTY WEST COAST BROKERAGE","22702 Kendrick Pl, Maple Ridge, BC V2X 9R1"
4,"C$2,375,000","3 bds3 ba2,863 sqft - House for sale","MLS® ID #R2866381, RE/MAX MASTERS REALTY BROKERAGE","225 Mountain Dr, Lions Bay, BC V0N 2E0"
5,"C$1,950,000","3 bds3 ba2,249 sqft - House for sale","MLS® ID #R2866951, MACDONALD REALTY (SURREY/152) BROKERAGE","1510 134a St, Surrey, BC V4A 5P2"
6,"C$3,000,000","7 bds3 ba3,658 sqft - House for sale","MLS® ID #R2866330, MACDONALD REALTY (LANGLEY) BROKERAGE","23064 50th Ave, Langley, BC V2Z 2R7"
7,"C$6,398,000","5 bds9 ba6,707 sqft - House for sale","MLS® ID #R2866653, THE PARTNERS REAL ESTATE BROKERAGE","888 Farmleigh Rd, West Vancouver, BC V7S 1Z9"
8,"C$1,649,900","5 bds3 ba3,003 sqft - House for sale","MLS® ID #R2864357, ROYAL LEPAGE - WOLSTENCROFT BROKERAGE","9280 204th St, Langley, BC V1M 1B7"
9,"C$2,399,000","6 bds6 ba4,958 sqft - House for sale","MLS® ID #R2866438, ROYAL LEPAGE - BROOKSIDE REALTY BROKERAGE","11345 241a St, Maple Ridge, BC V2W 0A3"
10,"C$315,000",3 bds2 ba980 sqft - Home for sale,"MLS® ID #R2860063, ROYAL LEPAGE WEST REAL ESTATE SERVICES BROKERAGE","8220 King George Blvd #7, Surrey, BC V3W 6E1"
11,"C$3,300,000","4 bds5 ba3,999 sqft - House for sale","MLS® ID #R2866359, RE/MAX MASTERS REALTY BROKERAGE","4742 Caulfeild Dr, West Vancouver, BC V7W 1G5"
